Date,day_no,Daily new confirmed cases,Total confirmed cases,Daily new deaths,Total deaths,Daily new recovered,Total recovered,Daily New Tests,Total Tests,Active Cases,infection rate
08-03-20,1,3,3,0,0,0,0,9,120,3,0.333
09-03-20,2,0,3,0,0,0,0,7,127,3,0
10-03-20,3,0,3,0,0,0,0,10,137,3,0
11-03-20,4,0,3,0,0,2,2,10,147,1,0
12-03-20,5,0,3,0,0,0,2,16,163,1,0
13-03-20,6,0,3,0,0,0,2,24,187,1,0
14-03-20,7,0,3,0,0,0,2,24,211,1,0
15-03-20,8,2,5,0,0,0,2,30,241,3,0.067
16-03-20,9,3,8,0,0,1,3,27,268,5,0.111
17-03-20,10,2,10,0,0,0,3,49,317,7,0.041
18-03-20,11,4,14,1,1,1,4,10,327,9,0.4
19-03-20,12,3,17,0,1,0,4,46,373,12,0.065
20-03-20,13,3,20,0,1,0,4,36,409,15,0.083
21-03-20,14,4,24,1,2,2,6,36,445,16,0.111
22-03-20,15,3,27,0,2,0,6,27,472,19,0.111
23-03-20,16,6,33,1,3,0,6,56,528,24,0.107
24-03-20,17,6,39,1,4,0,6,92,620,29,0.065
25-03-20,18,0,39,1,5,6,12,82,702,22,0
26-03-20,19,5,44,0,5,0,12,126,828,27,0.04
27-03-20,20,4,48,0,5,0,12,106,934,31,0.038
28-03-20,21,0,48,0,5,4,16,47,981,27,0
29-03-20,22,0,48,0,5,4,20,109,1090,23,0
30-03-20,23,1,49,0,5,4,24,153,1243,20,0.007
31-03-20,24,2,51,0,5,6,30,140,1383,16,0.014
01-04-20,25,3,54,1,6,1,31,157,1540,17,0.019
02-04-20,26,2,56,0,6,0,31,141,1681,19,0.014
03-04-20,27,5,61,0,6,0,31,203,1884,24,0.025
04-04-20,28,9,70,2,8,4,35,434,2318,27,0.021
05-04-20,29,18,88,1,9,3,38,367,2685,41,0.049
06-04-20,30,35,123,3,12,0,38,468,3153,73,0.075
07-04-20,31,41,164,5,17,0,38,792,3945,109,0.052
08-04-20,32,54,218,3,20,0,38,981,4926,160,0.055
09-04-20,33,112,330,1,21,0,38,905,5831,271,0.124
10-04-20,34,94,426,6,27,0,38,1184,7015,361,0.079
11-04-20,35,58,482,3,30,3,41,954,7969,411,0.061
12-04-20,36,139,621,4,34,3,44,1340,9309,543,0.104
13-04-20,37,182,803,5,39,3,47,1570,10879,717,0.116
14-04-20,38,209,1012,7,46,0,47,1905,12784,919,0.11
15-04-20,39,219,1231,4,50,7,54,1740,14524,1127,0.126
16-04-20,40,341,1572,10,60,0,54,2135,16659,1458,0.16
17-04-20,41,266,1838,15,75,9,63,2190,18849,1700,0.122
18-04-20,42,306,2144,9,84,8,71,2114,20963,1989,0.145
19-04-20,43,312,2456,7,91,9,80,2634,23597,2285,0.119
20-04-20,44,492,2948,10,101,10,90,2779,26376,2757,0.177
21-04-20,45,434,3382,9,110,2,92,2974,29350,3180,0.146
22-04-20,46,390,3772,10,120,5,97,3043,32393,3555,0.128
23-04-20,47,414,4186,7,127,16,113,3460,35853,3946,0.12
24-04-20,48,503,4689,4,131,4,117,3386,39239,4441,0.149
25-04-20,49,309,4998,9,140,1,118,3637,42876,4740,0.085
26-04-20,50,418,5416,5,145,9,127,3476,46352,5144,0.12
27-04-20,51,497,5913,7,152,9,136,3812,50164,5625,0.13
28-04-20,52,549,6462,3,155,8,144,4332,54496,6163,0.127
29-04-20,53,641,7103,8,163,11,155,4968,59464,6785,0.129
30-04-20,54,564,7667,5,168,10,165,4965,64429,7334,0.114
01-05-20,55,571,8238,2,170,14,179,5573,70002,7889,0.103
02-05-20,56,552,8790,5,175,3,182,5827,75829,8433,0.095
03-05-20,57,665,9455,2,177,886,1068,5368,81197,8210,0.124
04-05-20,58,688,10143,5,182,146,1214,6260,87457,8747,0.11
05-05-20,59,786,10929,1,183,194,1408,5711,93168,9338,0.138
06-05-20,60,790,11719,3,186,0,1408,6241,99409,10125,0.127
07-05-20,61,706,12425,13,199,507,1915,5867,105276,10311,0.12
08-05-20,62,709,13134,7,206,191,2106,5941,111217,10822,0.119
09-05-20,63,636,13770,8,214,313,2419,5518,116735,11137,0.115
10-05-20,64,887,14657,14,228,236,2655,5738,122473,11774,0.155
11-05-20,65,1034,15691,11,239,252,2907,7208,129681,12545,0.144
12-05-20,66,969,16660,11,250,245,3152,6773,136454,13258,0.143
13-05-20,67,1162,17822,19,269,214,3366,7900,144354,14187,0.147
14-05-20,68,1041,18863,14,283,242,3608,7392,151746,14972,0.141
15-05-20,69,1202,20065,15,298,279,3887,8582,160328,15880,0.14
16-05-20,70,930,20995,16,314,235,4122,6602,166930,16559,0.141
17-05-20,71,1273,22268,14,328,256,4378,8114,175044,17562,0.157
18-05-20,72,1602,23870,21,349,212,4590,9858,184902,18931,0.163
19-05-20,73,1251,25121,21,370,408,4998,8559,193461,19753,0.146
20-05-20,74,1617,26738,16,386,214,5212,10207,203668,21140,0.158
21-05-20,75,1773,28511,22,408,395,5607,10262,213930,22496,0.173
22-05-20,76,1694,30205,24,432,588,6195,9727,223657,23578,0.174
23-05-20,77,1873,32078,20,452,296,6491,10834,234491,25135,0.173
24-05-20,78,1532,33610,28,480,415,6906,8908,243399,26224,0.172
25-05-20,79,1975,35585,21,501,433,7339,9451,252850,27745,0.209
26-05-20,80,1166,36751,21,522,245,7584,5516,258366,28645,0.211
27-05-20,81,1541,38292,22,544,346,7930,7906,266272,29818,0.195
28-05-20,82,2029,40321,15,559,500,8430,9320,275592,31332,0.218
29-05-20,83,2523,42844,23,582,590,9020,11291,286883,33242,0.224
30-05-20,84,1764,44608,28,610,360,9380,9987,296870,34618,0.177
31-05-20,85,2545,47153,40,650,406,9786,11876,308746,36717,0.214
01-06-20,86,2381,49534,22,672,816,10602,12039,320785,38260,0.198
02-06-20,87,2911,52445,37,709,523,11125,12104,332889,40611,0.241
03-06-20,88,2695,55140,37,746,470,11595,12510,345399,42799,0.215
04-06-20,89,2423,57563,35,781,571,12166,12694,358093,44616,0.191
05-06-20,90,2828,60391,30,811,643,12809,14088,372181,46771,0.201
06-06-20,91,2635,63026,35,846,521,13330,12486,384667,48850,0.211
07-06-20,92,2743,65769,42,888,578,13908,13136,397803,50973,0.209
08-06-20,93,2735,68504,42,930,657,14565,12854,410657,53009,0.213
09-06-20,94,3171,71675,45,975,777,15342,14754,425411,55358,0.215
10-06-20,95,3190,74865,37,1012,563,15905,15965,441376,57948,0.2
11-06-20,96,3187,78052,37,1049,847,16752,15772,457148,60251,0.202
12-06-20,97,3471,81523,46,1095,502,17254,15990,473138,63174,0.217
13-06-20,98,2856,84379,44,1139,578,17832,16638,489776,65408,0.172
14-06-20,99,3141,87520,32,1171,903,18735,14505,504281,67614,0.217
15-06-20,100,3099,90619,38,1209,15297,34032,15038,519319,55378,0.206
16-06-20,101,3862,94481,53,1262,2237,36269,17214,536533,56950,0.224
17-06-20,102,4008,98489,43,1305,1925,38194,17527,554060,58990,0.229
18-06-20,103,3803,102292,38,1343,1975,40169,16259,570319,60780,0.234
19-06-20,104,3243,105535,45,1388,2781,42950,15045,585364,61197,0.216
20-06-20,105,3240,108775,37,1425,1048,43998,14031,599395,63352,0.231
21-06-20,106,3531,112306,39,1464,1084,45082,15585,614980,65760,0.227
22-06-20,107,3480,115786,38,1502,1678,46760,15555,630535,67524,0.224
23-06-20,108,3412,119198,43,1545,880,47640,16292,646827,70013,0.209
24-06-20,109,3462,122660,37,1582,2031,49671,16433,663260,71407,0.211
25-06-20,110,3946,126606,39,1621,1829,51500,17999,681259,73485,0.219
26-06-20,111,3868,130474,40,1661,1638,53138,18498,699757,75675,0.209
27-06-20,112,3504,133978,34,1695,1185,54323,15157,714914,77960,0.231
28-06-20,113,3809,137787,43,1738,1409,55732,18099,733013,80317,0.211
29-06-20,114,4014,141801,45,1783,2053,57785,17837,750850,82233,0.225
30-06-20,115,3637,145438,64,1847,1844,59629,18426,769276,83962,0.197
01-07-20,116,3820,149258,41,1888,2484,62113,17875,787151,85257,0.214
02-07-20,117,4019,153277,38,1926,4334,66447,18362,805513,84904,0.219
03-07-20,118,3114,156391,42,1968,1606,68053,14650,820163,86370,0.213
04-07-20,119,3288,159679,29,1997,2673,70726,14727,834890,86956,0.223
05-07-20,120,2738,162417,55,2052,1904,72630,13988,848878,87735,0.196
06-07-20,121,3201,165618,44,2096,3524,76154,14245,863123,87368,0.225
07-07-20,122,3027,168645,55,2151,1953,78107,13173,876296,88387,0.23
08-07-20,123,3489,172134,46,2197,2736,80843,15672,891968,89094,0.223
09-07-20,124,3360,175494,41,2238,3706,84549,15632,907600,88707,0.215
10-07-20,125,2939,178433,37,2275,1862,86411,13488,921088,89747,0.218
11-07-20,126,2696,181129,30,2305,1628,88039,11193,932281,90785,0.241
12-07-20,127,2666,183795,47,2352,5580,93619,11059,943340,87824,0.241
13-07-20,128,3099,186894,39,2391,4703,98322,12423,955763,86181,0.25
14-07-20,129,3163,190057,33,2424,4910,103232,13453,969216,84401,0.235
15-07-20,130,3533,193590,33,2457,2296,105528,14002,983218,85605,0.252
16-07-20,131,2733,196323,39,2496,1440,106968,12889,996107,86859,0.212
17-07-20,132,3034,199357,51,2547,1762,108730,13460,1009567,88080,0.225
18-07-20,133,2709,202066,34,2581,1373,110103,10923,1020490,89382,0.248
19-07-20,134,2459,204525,37,2618,1544,111647,10625,1031115,90260,0.231
20-07-20,135,2895,207420,41,2659,1914,113561,13362,1044477,91200,0.217
